R1,一二子级连接面解锁
R2,一二级分离
R3,二三级分离
R4,人员数量
R5,信号传递
R6,信号转化
R7,冷分离
R8,减速分离
R9,到达月球的方式
R10,发射方式
R11,固体火箭级间热分离
R12,地球端发射方式
R13,地球端发射类型
R14,地球轨道发射
R15,地球轨道汇合
R16,地球轨道集合
R17,多级火箭的级间热分离
R18,宇航员数量
R19,密闭式分离
R20,密闭式级间热分离
R21,封闭式分离
R22,将一个人安全送上月球并返回
R23,将一名宇航员安全的送到月球表面并返回
R24,建立动力学模型
R25,开排焰分离
R26,指挥舱人员数量
R27,指挥舱人数
R28,指挥舱的人数
R29,提供分离能量
R30,整流罩分离
R31,星箭分离
R32,月球轨道汇合
R33,月球轨道集合
R34,有效载荷分离
R35,服务舱燃料类型
R36,火箭的级间热分离
R37,火箭级间热分离
R38,热分离
R39,燃料类型
R40,燃料选型
R41,登月舱人员数量
R42,登月舱人数
R43,登月舱燃料类型
R44,登月舱的人数
R45,直接离开
R46,直接降落月球表面
R47,离开月球的方式
R48,级间分离
R49,级间热分离
R50,航天分离
R51,运载火箭冷、热分离
R52,运载火箭布局与外形选择
R53,运载火箭级间热分离
R54,飞行器驱动
R55,飞行方式
P1,一二级分离系统
P2,一子级
P3,一级前封头
P4,三级火箭
P5,二子级
P6,二子级发动机
P7,二级火箭系统
P8,人造地球卫星
P9,仪器舱
P10,传爆装置
P11,信号传递装置
P12,信号转化装置
P13,分离导向销
P14,分离推力装置
P15,分离火工装置
P16,分离火箭
P17,分离系统
P18,分离系统火工装置
P19,分离系统装置
P20,分离螺母
P21,分离解锁机构
P22,分离连接装置
P23,制导与控制系统
P24,助推器分离机构
P25,半导体桥点火器
P26,双传爆装置
P27,双起爆器
P28,发动机堵片
P29,发射场安全系统
P30,固体运载火箭
P31,塑料导爆组件
P32,多级火箭
P33,导弹
P34,导爆装置
P35,座舱显示系统
P36,延期器点火器
P37,延期点火器
P38,排焰窗
P39,探空火箭
P40,接收装置
P41,控制系统
P42,推进系统
P43,整流罩
P44,有效载荷
P45,机械起爆器
P46,气动作动器
P47,气囊式炸药索
P48,火工作动筒
P49,火工品
P50,火工装置
P51,火箭一子级
P52,爆炸螺栓
P53,电动冷却泵系统
P54,电点火器
P55,电起爆器
P56,空间探测器
P57,空间站
P58,第一子级
P59,第三级
P60,第二级
P61,箭体结构
P62,级间冷却分离机构
P63,级间分离系统
P64,级间热分离机构等
P65,线性分离系统
P66,线式分离系统
P67,线式分离装置
P68,线性束分离装置
P69,终端火工装置
P70,膨胀管
P71,航天分离系统
P72,起爆器
P73,载人飞船
P74,运载火箭
P75,运载火箭一二级分离系统
P76,运载火箭多级结构
P77,运载火箭连接分离装置
P78,连接分离装置
P79,连接解锁机构
P80,逃逸系统
P81,遥测系统
P82,链接解锁装置
P83,限制性导爆组件
P84,隔板起爆器
P85,非火工品分离装置
P86,飞行器控制驱动系统
P87,飞行控制系统
P88,高压氮气
G1,任务成功率
G2,任务的总成功率
G3,传爆可靠性
G4,低成本
G5,低污染
G6,作动装置可靠性
G7,作用时间
G8,内壳抗压能力
G9,决策指标
G10,决策项指标
G11,分离时间
G12,分离系统可靠性
G13,分离速度
G14,初始总量
G15,发火可靠性
G16,发火时间
G17,可靠度
G18,可靠性
G19,各选项子任务的成功率
G20,安全性
G21,封头表面压力
G22,尺寸
G23,强度
